k;n;test_size;accuracy;precision_macro;precision_micro;recall_macro;recall_micro;f1_macro;f1_micro
7;1.5;0.3;0.71;0.71;0.71;0.71;0.71;0.71;0.71
7;2;0.3;0.70;0.70;0.70;0.70;0.70;0.70;0.70
7;3;0.3;0.70;0.70;0.70;0.70;0.70;0.70;0.70
7;4;0.3;0.71;0.71;0.71;0.71;0.71;0.71;0.71
8;1;0.3;0.71;0.71;0.71;0.71;0.71;0.71;0.71
8;1.5;0.3;0.71;0.71;0.71;0.71;0.71;0.71;0.71
8;2;0.3;0.71;0.70;0.71;0.71;0.71;0.70;0.71
8;3;0.3;0.70;0.70;0.70;0.70;0.70;0.70;0.70
8;4;0.3;0.71;0.71;0.71;0.71;0.71;0.71;0.71
9;1;0.3;0.70;0.70;0.70;0.70;0.70;0.70;0.70
9;1.5;0.3;0.69;0.69;0.69;0.69;0.69;0.69;0.69
9;2;0.3;0.69;0.69;0.69;0.69;0.69;0.69;0.69
9;3;0.3;0.69;0.69;0.69;0.69;0.69;0.69;0.69
9;4;0.3;0.70;0.70;0.70;0.70;0.70;0.70;0.70
10;1;0.3;0.70;0.70;0.70;0.70;0.70;0.70;0.70
10;1.5;0.3;0.70;0.70;0.70;0.70;0.70;0.70;0.70
10;2;0.3;0.69;0.69;0.69;0.69;0.69;0.69;0.69
10;3;0.3;0.70;0.70;0.70;0.70;0.70;0.70;0.70
10;4;0.3;0.69;0.70;0.69;0.70;0.69;0.70;0.69
11;1;0.3;0.69;0.69;0.69;0.69;0.69;0.69;0.69
11;1.5;0.3;0.71;0.71;0.71;0.71;0.71;0.71;0.71
11;2;0.3;0.70;0.70;0.70;0.70;0.70;0.70;0.70
11;3;0.3;0.69;0.69;0.69;0.69;0.69;0.69;0.69
11;4;0.3;0.70;0.70;0.70;0.70;0.70;0.70;0.70
12;1;0.3;0.69;0.69;0.69;0.69;0.69;0.69;0.69
12;1.5;0.3;0.69;0.69;0.69;0.69;0.69;0.69;0.69
12;2;0.3;0.70;0.70;0.70;0.71;0.70;0.70;0.70
12;3;0.3;0.69;0.69;0.69;0.70;0.69;0.70;0.69
12;4;0.3;0.70;0.70;0.70;0.70;0.70;0.70;0.70
13;1;0.3;0.69;0.69;0.69;0.69;0.69;0.69;0.69
13;1.5;0.3;0.69;0.69;0.69;0.69;0.69;0.69;0.69
13;2;0.3;0.70;0.69;0.70;0.69;0.70;0.69;0.70
13;3;0.3;0.70;0.70;0.70;0.70;0.70;0.70;0.70
13;4;0.3;0.70;0.70;0.70;0.70;0.70;0.70;0.70
14;1;0.3;0.71;0.70;0.71;0.71;0.71;0.71;0.71
14;1.5;0.3;0.69;0.69;0.69;0.69;0.69;0.69;0.69
14;2;0.3;0.70;0.70;0.70;0.70;0.70;0.70;0.70
14;3;0.3;0.70;0.71;0.70;0.71;0.70;0.71;0.70
14;4;0.3;0.70;0.71;0.70;0.71;0.70;0.71;0.70
15;1;0.3;0.71;0.71;0.71;0.71;0.71;0.71;0.71
15;1.5;0.3;0.70;0.71;0.70;0.71;0.70;0.71;0.70
15;2;0.3;0.70;0.71;0.70;0.70;0.70;0.70;0.70
15;3;0.3;0.71;0.70;0.71;0.70;0.71;0.70;0.71
15;4;0.3;0.69;0.69;0.69;0.69;0.69;0.69;0.69
